Standard:
epoch,train_loss,val_loss,val_acc,top2_acc
281,0.5153,0.2174,0.9449,0.9830
282,0.5216,0.2175,0.9449,0.9830
283,0.5059,0.2178,0.9451,0.9829
284,0.4507,0.2180,0.9455,0.9826
285,0.5022,0.2182,0.9456,0.9827
286,0.5492,0.2183,0.9456,0.9826
287,0.5021,0.2184,0.9457,0.9827
288,0.4762,0.2186,0.9457,0.9826
289,0.5114,0.2187,0.9453,0.9826
290,0.4999,0.2190,0.9456,0.9826
291,0.5005,0.2192,0.9455,0.9826
292,0.5130,0.2194,0.9454,0.9826
293,0.5427,0.2195,0.9453,0.9825
294,0.5008,0.2197,0.9451,0.9825
295,0.4991,0.2199,0.9451,0.9824
296,0.5243,0.2200,0.9449,0.9824
297,0.4826,0.2202,0.9449,0.9826
298,0.5039,0.2203,0.9451,0.9826
299,0.4895,0.2205,0.9452,0.9826
300,0.7026,0.2184,0.9448,0.9825
301,0.7142,0.2153,0.9452,0.9824
302,0.7308,0.2129,0.9462,0.9826
303,0.7318,0.2106,0.9464,0.9830
304,0.6984,0.2088,0.9465,0.9827
305,0.7253,0.2074,0.9464,0.9827
306,0.7416,0.2062,0.9461,0.9833
307,0.7115,0.2051,0.9467,0.9831
308,0.7259,0.2041,0.9469,0.9834
309,0.7161,0.2032,0.9480,0.9833
310,0.7251,0.2019,0.9480,0.9834
311,0.7586,0.2010,0.9478,0.9835
312,0.7243,0.2000,0.9483,0.9836
313,0.6619,0.1993,0.9485,0.9835
314,0.6810,0.1984,0.9479,0.9836
315,0.6590,0.1978,0.9483,0.9835
316,0.7339,0.1971,0.9478,0.9833
317,0.7514,0.1968,0.9478,0.9836
318,0.7057,0.1966,0.9477,0.9834
319,0.6996,0.1963,0.9479,0.9834
320,0.6903,0.1960,0.9486,0.9834
321,0.6923,0.1958,0.9485,0.9830
322,0.6955,0.1953,0.9483,0.9829
323,0.7005,0.1951,0.9479,0.9834
324,0.6984,0.1952,0.9475,0.9835
325,0.6834,0.1951,0.9467,0.9834
326,0.6781,0.1948,0.9470,0.9833
327,0.6845,0.1948,0.9465,0.9835
328,0.6845,0.1945,0.9467,0.9840
329,0.6529,0.1944,0.9469,0.9840
330,0.6601,0.1939,0.9472,0.9836
331,0.7139,0.1934,0.9471,0.9835
332,0.6865,0.1931,0.9469,0.9834
333,0.6886,0.1929,0.9462,0.9835
334,0.7225,0.1927,0.9459,0.9834
335,0.6265,0.1924,0.9456,0.9835
336,0.7128,0.1925,0.9452,0.9833
337,0.6774,0.1922,0.9452,0.9835
338,0.6610,0.1919,0.9454,0.9834
339,0.6959,0.1916,0.9457,0.9836
340,0.6905,0.1913,0.9455,0.9836
341,0.6608,0.1911,0.9454,0.9834
342,0.6847,0.1912,0.9452,0.9833
343,0.6577,0.1911,0.9452,0.9831
344,0.6508,0.1913,0.9452,0.9831
345,0.6631,0.1914,0.9444,0.9832
346,0.6624,0.1912,0.9446,0.9832
347,0.7162,0.1913,0.9447,0.9831
348,0.6575,0.1913,0.9449,0.9829
349,0.6656,0.1918,0.9445,0.9829
350,0.6555,0.1921,0.9444,0.9830
